ticker,cluster
AAPL,6
MSFT,2
GOOGL,1
AMZN,5
META,2
TSLA,5
NVDA,1
JPM,6
JNJ,1
V,5
WMT,3
PG,6
MA,5
UNH,4
HD,5
DIS,3
BAC,6
XOM,3
CVX,3
CSCO,3
PFE,1
ABT,4
COST,3
AVGO,5
NFLX,3
ADBE,4
CRM,4
NKE,4
TMO,3
LIN,3
ABBV,3
ACN,3
DHR,3
VZ,3
WFC,5
CMCSA,6
NEE,5
PM,3
TXN,3
RTX,5
RELIANCE.NS,2
TCS.NS,2
HDFCBANK.NS,6
INFY.NS,6
HINDUNILVR.NS,3
ICICIBANK.NS,6
SBIN.NS,6
BHARTIARTL.NS,2
KOTAKBANK.NS,6
ITC.NS,3
LT.NS,5
AXISBANK.NS,6
ASIANPAINT.NS,3
MARUTI.NS,6
TITAN.NS,5
ULTRACEMCO.NS,6
NESTLEIND.NS,5
SUNPHARMA.NS,3
BAJFINANCE.NS,6
WIPRO.NS,6
