ticker,market_cap,total_revenue,ebitda,net_income,roa,roe,debt_to_equity,free_cashflow,trailing_pe,price_to_book,currency,sector,industry,country,price,avg_daily_volume,price_volatility,avg_daily_volume_30d,price_momentum_1m,price_momentum_3m,price_momentum_6m,r_d_intensity,net_margin,operating_margin,company_name,beta,free_float_pct,bid_ask_spread,employees,revenue_per_employee,market_share,scope1_emissions,scope2_emissions,scope3_emissions,emissions_intensity,renewable_energy_pct,energy_efficiency,water_usage_intensity,waste_recycling_pct,carbon_reduction_target,environmental_fines,employee_turnover,gender_diversity_pct,women_management_pct,pay_gap_ratio,injury_rate,safety_training_hours,employee_satisfaction,community_investment_pct,supply_chain_audit_pct,human_rights_policy,board_independence_pct,board_diversity_pct,board_size,exec_comp_esg_linked,ceo_pay_ratio,shareholder_rights_score,ethics_compliance_score,anti_corruption_policy,data_privacy_score,tax_transparency_score,esg_controversy_score,esg_risk_rating,environmental_fines_log,avg_daily_volume_log,avg_daily_volume_30d_log,scope1_emissions_log,scope2_emissions_log,net_income_log,ebitda_log,employees_log,total_revenue_log,scope3_emissions_log,board_size_rank,scope1_emissions_norm,scope2_emissions_norm,scope3_emissions_norm,emissions_intensity_norm,renewable_energy_pct_norm,energy_efficiency_norm,water_usage_intensity_norm,waste_recycling_pct_norm,carbon_reduction_target_norm,environmental_fines_norm,employee_turnover_norm,gender_diversity_pct_norm,women_management_pct_norm,pay_gap_ratio_norm,injury_rate_norm,safety_training_hours_norm,employee_satisfaction_norm,community_investment_pct_norm,supply_chain_audit_pct_norm,human_rights_policy_norm,board_independence_pct_norm,board_diversity_pct_norm,board_size_norm,exec_comp_esg_linked_norm,ceo_pay_ratio_norm,shareholder_rights_score_norm,ethics_compliance_score_norm,anti_corruption_policy_norm,data_privacy_score_norm,tax_transparency_score_norm,esg_controversy_score_norm,esg_risk_rating_norm,E_score,S_score,G_score,ESG_composite,roa_norm,roe_norm,net_margin_norm,operating_margin_norm,free_cashflow_norm,total_revenue_norm,ebitda_norm,revenue_per_employee_norm,r_d_intensity_norm,debt_to_equity_norm,market_cap_norm,trailing_pe_norm,price_to_book_norm,profitability_score,growth_score,efficiency_score,stability_score,valuation_score,financial_score,avg_daily_volume_norm,bid_ask_spread_norm,free_float_pct_norm,price_volatility_norm,beta_norm,price_momentum_1m_norm,price_momentum_3m_norm,price_momentum_6m_norm,market_liquidity_score,market_volatility_score,market_momentum_score,market_score,operational_score,risk_adjusted_score,value_score,similarity_rank,sector_position,pref_esg_first,pref_balanced,pref_financial_first
AAPL,3968587005952.0,435617005568.0,152901992448.0,117776998400.0,0.24377,1.5202099,-102.63,106312753152.0,-34.135273,-45.016674,USD,Technology,Consumer Electronics,US,270.010009765625,53615949.800796814,-20.895073653359425,49629750.0,-0.6804883710801235,-0.4157070497765702,33.698225904929615,2.4992137269307166,27.036822918891986,35.10009721696504,AAPL,-1.3141953119864345,46.39837544998832,-0.0263989218391754,2178085.02784,200000.0,0.9973396644226163,213.78009887586185,23.754484069105267,826.4511866618396,0.0511743086980311,41.7392501410794,89.9616391249933,3.9759775899772567,38.47226818484294,0.0,28.607855061537283,5.65628247804717,62.01108021395407,31.41497770983279,0.8487395138767677,0.0841674351918658,8.417617670595428,73.7636772180903,1.4057124277668145,82.66095523992692,1.0,83.28989248985305,33.53297948893769,10.0,39.70559547864823,41.02179772287164,50.81090903769304,70.71152483760984,1.0,63.271033504264174,74.26178828384131,77.50810137779465,48.28109361817516,3.3880396998252262,17.797357171337143,17.7201010304243,5.369614708788759,3.209006647113884,25.49205882934441,25.75306298085604,14.593957080244124,26.8000292666578,6.718350116583013,65.83333333333333,-0.5317696934754175,-0.5409950545547014,-0.45989349090527265,-0.060010864157232086,1.0880023981422375,1.7793243489244583,-0.3138174406448061,-0.3896068354481107,-0.7276586969637729,-0.011350026117456828,-0.17159202792707218,1.774795733080992,-0.4027075583208817,-0.2639967255110188,-0.8026899750630712,-0.18714167261026832,0.16100113430767682,0.8571311111029895,2.140360810671687,1.0252557850947164,-0.18307482326058677,0.17982230456182965,0.3010221494590195,0.31075309236814047,1.0151141072284715,-1.412745989229411,0.0029685334565448165,0.6491753008596247,-0.3262362142071603,0.5727180664060052,1.317438110289579,-2.2691170741745776,51.03170211865295,52.30643593399863,51.26273829009174,51.547169805455574,2.4531716517712128,3.2372224393392384,0.6154365893211423,0.5531792884381472,0.7757902657738924,-0.16869733530594952,0.2311985268827439,0.0,1.473753432518479,-0.1257148880184227,0.31662430110644263,0.002677161365723123,-2.941046264593963,1.5269600469287266,67.82682938400191,0.7368767162592395,51.257148880185625,-1.4691845516141198,58.11307999455258,1.5779892594051572,0.8954663280818005,-2.0182575593785126,0.6103600710975884,-1.130040963844496,-0.1682956277501603,-0.1040811602673867,1.782682938388136,0.15173267603614837,-0.25984044637345377,0.503435383456863,52.67543103078964,50.14433082580849,43.89639928893467,64.69184551626083,0.9997454128754307,0.5,55.86443748649073,57.43043986112317,56.65830934157994
MSFT,3143788658688.0,305453006848.0,175258992640.0,119262003200.0,0.1486,0.34390998,-31.539,53640626176.0,-26.526941,-8.046564,USD,Technology,Software - Infrastructure,US,423.3699951171875,23155561.752988048,-35.58192913045785,30412686.666666668,-12.458128408317904,-19.32395591512406,-18.93692933547273,2.7840616426577767,39.04430486073013,57.37674493648467,MSFT,-1.350876997728332,59.44079747668307,-0.0018516119674600936,1527265.03424,200000.0,8.105758620120083,95.11627495412942,34.56967230832371,466.9238750789613,0.007329516624205,29.22062522628968,83.31290896776844,1.5183870921697025,37.751698556093686,1.0,16.33352394663396,3.965103894578792,56.75399725343201,46.85485568772896,0.8220763783741791,0.3932288248766377,7.989587287047057,83.41841297083495,0.868433699763846,34.638213830953724,1.0,74.04841506771545,29.519429047634773,10.0,69.7242266360102,9.093600641145066,61.804427244766735,73.99651365087641,1.0,61.35829215060561,63.13716518610206,72.51832090192595,77.16596071342954,2.852642426774042,16.957745601336836,17.23037043676319,4.565558655998804,3.571493373332145,25.504588617422996,25.88953067476004,14.238989789222655,26.44506177999112,6.148305622599371,65.83333333333333,-0.579480513793833,-0.4501539964191551,-0.48593661577473646,-0.779001510840108,0.06920445305337285,1.1687018372331184,-0.669098912157912,-0.4438238601147993,1.35136615150415,-0.31824213919811833,-0.6101774394852423,1.3073965788940252,1.1044443678504285,-0.7031227636258814,-0.5408315217161723,-0.34558564066435743,1.1194733812508344,-0.09258138435031638,-1.6063459947309955,1.0252557850947164,-1.0072545239240744,-0.3316782116314878,0.3010221494590195,2.1074557536897793,-0.9591539852307274,-0.45448194574540773,0.3315641764528181,0.6491753008596247,-0.4732321792306182,-0.17089576652358723,1.0205478879468228,0.2884454688887838,47.57776812022229,53.541655591753546,51.016941993558774,50.69688089725918,0.9852545296793419,0.046693393651431846,1.621200450725175,1.7790476863172366,0.17846561767325747,-0.3044692000430971,0.3377779263593368,0.0,1.6758807596629728,0.6659460104575533,0.09598586768265317,0.32361254567076914,0.06804178520652798,0.9221323356092885,32.23467893120154,0.8379403798314864,43.34053989541705,0.19582716543864856,60.68155229914041,0.1809833329863922,1.132104943868151,-1.070473459346549,-1.5419483504701554,-1.2739164207897422,-1.6561684699661468,-1.9768306410997356,-1.7765321068678328,0.08087160583599802,-1.4079323856299488,-1.8031770726445717,31.38031609704086,59.704051127304666,65.41948350492753,48.04172834560392,0.9817727421409427,0.4166666666666667,53.222588098427565,52.17253331492985,53.24541323778937
GOOGL,4162815262720.0,385476001792.0,145174003712.0,124250996736.0,0.16275999,0.3545,-11.424,47997751296.0,-33.894478,-10.729248,USD,Communication Services,Internet Content & Information,US,343.69000244140625,36724015.53784861,-16.706459009181778,29106890.0,9.80511260108825,22.1808974833545,52.08201712931829,3.9304651728164814,32.23313414022721,37.66097060183135,GOOGL,-0.9311827767795916,96.40120866167568,-0.144542199633491,1927380.00896,200000.0,5.301832153057344,1390.8566668650292,30.58717448575333,3929.3448657242266,0.0133032113976762,40.62514890781869,85.64256509726675,1.0789501694024588,52.61954771348851,1.0,6.9219261359475786,15.131726483721584,54.90263618919322,39.38038643897743,0.872288927126323,2.166132569396613,9.644102113777862,83.97058347478426,0.6953163121716821,63.98802464213661,0.0,71.11459618404838,23.09305062349776,5.0,56.227765228522216,19.68328699031479,77.80675398771733,81.58413836213299,1.0,74.21088355517148,95.0,40.9234449283322,78.33611812369705,2.069634375241536,17.418941500573712,17.186485508231762,7.238393866386515,3.4527511675010505,25.54556952391914,25.70119888551867,14.471672649159954,26.677744775853814,8.276482453105995,8.333333333333332,-0.05850592377430108,-0.48360457612454777,-0.2351287931004897,-0.6810416286029617,0.9973339697171616,1.3826585543102254,-0.7326260932310881,0.6748612916675099,1.35136615150415,-0.5535580283124247,2.2857424898753855,1.1427949163336222,0.3748297464465958,0.12384815264304874,0.9612966895962773,0.2668659619026071,1.1742900139552128,-0.3985896768945221,0.6835094503601257,-0.9591102505724767,-1.2689003473017746,-1.150677730703831,-1.3713231253133105,1.2996531592896203,-0.30434470129899727,0.9403812855707686,1.090550146432573,0.6491753008596247,0.5145015114498647,1.9589422078326073,-0.8593363670932752,0.39205511168613266,54.8729971799896,65.11723490251804,48.24143996098221,56.46901321717234,1.2036604534961923,0.07541716199481038,1.0506870493544942,0.6941023659587608,0.11447298161533377,-0.22099856797708328,0.19435796725616758,0.0,2.489365670684838,0.8899442517657958,0.3685815079098752,0.012834398965729684,-0.15030845410276755,0.6276680024839183,80.0,1.244682835342419,41.100557482332135,-0.06873702756851893,60.373035711639304,0.8032738409089565,-0.24344713607432375,1.6154149423690543,1.2241872165626702,0.37223741851730835,1.1563535270445078,2.133977991024486,3.0258039288333927,0.7250805490678957,0.7982123175399892,2.1053784823007953,73.22218919158787,56.662741775286804,37.7581278341939,50.68737027569104,0.8766653030094603,0.8571428571428571,59.708960996724464,61.36086151354695,59.732579591485745
AMZN,2597294964736.0,691330023424.0,139696996352.0,76482002944.0,0.07495,0.24327,-43.405,26080000000.0,-34.36492,-7.0246043,USD,Consumer Cyclical,Internet Retail,US,242.9600067138672,45166440.239043824,-24.96577729106225,39010920.0,5.259509143241692,9.019117853570544,13.136208015770512,0.0,11.063023498560366,20.206991106810698,AMZN,-0.9869569150558412,51.4667714640844,-0.0977483083988966,3456650.11712,200000.0,8.570960609758247,839.0484164687513,10.0,4925.734559159981,0.0202210816287873,42.182701718023,77.2425443190734,5.883550781239426,30.88503708186208,0.0,58.5363502326932,1.079655677826823,42.26014966004557,38.386703462461526,0.986070185190877,3.868741164110655,12.266341888678772,74.05121271528387,0.5984138180306202,42.995947674134094,1.0,64.02280027175,43.57266375643137,14.0,27.37930790403252,6.6716319864854245,54.34609952101853,75.6503526720866,0.0,71.56543141094652,60.858977216987554,65.26931940960196,80.84200679797374,4.086587054291432,17.625864918585986,17.479352190535085,6.733459528829592,2.3978952727983707,25.06032129448104,25.66274160228384,15.05581079310511,27.26188314933934,8.502431686353471,95.0,-0.28036987029806143,-0.6565244248540693,-0.16295318816369392,-0.5675986458477981,1.1240916298599162,0.6111966864727763,-0.03804919894010318,-0.9604844848103293,-0.7276586969637729,0.7369448535316945,-1.3584813182385729,0.018770898657300295,0.277832139716568,1.9977580332256069,2.403865927124441,1.2375402203051271,0.18954617180315628,-0.5698778830522927,-0.9542803827054169,1.0252557850947164,-1.9013656951219582,1.45931380724589,1.6388983692768835,-0.4270111838719003,-1.1089155086763316,-1.1045965994500864,0.496996793572294,-1.5147423686724573,0.31119603571478055,-0.3231788661812821,0.5892347920647122,0.6139348589351593,47.4724028188365,57.3843202811849,55.820482503325756,53.44599783600521,-0.15073471106949,-0.22627676802930688,-0.7225516969911847,-0.2663779607749255,-0.1340837756617323,0.09803258704805723,0.1682481962518019,0.0,-0.2996820138948844,0.5338076494650799,-0.05020442587155406,-0.007009830237627113,0.1512215950758439,-0.30000498250532787,53.92269191197326,-0.1498410069474422,44.66192350534325,0.0721058824191084,49.07489012642559,1.1904690835435074,0.2076508338001926,-1.6499406052887342,0.013812380218753324,0.15347621744586412,0.5821060619301662,0.8303820766677332,0.39226919119467313,-0.0839402293150114,0.08364429883230873,0.6015857765975242,53.439858618058906,50.04357086689513,49.861876197810446,49.27894117580291,0.9472813713445514,0.8333333333333334,54.504640239023196,53.55817523547381,52.47502635498991
META,1786903265280.0,200965996544.0,101891997696.0,60458000384.0,0.16212,0.30238,-39.164,23432374272.0,-30.034437,-8.226792,USD,Communication Services,Internet Content & Information,US,706.4099731445312,15676579.6812749,-41.17973909091541,17058823.333333332,7.017216501470425,6.079209968043764,-5.672823401782045,8.172382775350062,30.08369645795436,50.701113346650914,META,-0.5406677492332834,79.07022771675737,-0.1436756945909421,1004829.98272,200000.0,2.811961728254741,776.8886688005788,45.83842647441247,3129.284982405753,0.0134146571560797,34.78686771498376,70.90470266330306,4.009742235491638,72.18919733812284,1.0,22.34081325365438,1.972290265539642,38.8844189023553,26.38931105277033,0.8990718424254273,0.9602196186564927,14.003349204773505,86.2645669702742,1.2558517501634108,69.93833176745598,1.0,77.58573277776725,26.44282579716532,9.0,28.80085838931349,10.646125103066431,48.814055842110896,68.56870935895901,1.0,69.85274098490716,95.0,30.27034523575284,57.735027145149,3.150203470024061,16.567678480309834,16.652178184015014,6.656583414710672,3.846703944536128,24.825214752396505,25.347179243149277,13.820329908934069,26.02640155927648,8.048879328081453,54.16666666666666,-0.30536226017747686,-0.3555032580617039,-0.2930828310081453,-0.6792140806978496,0.5221996061111325,0.029126321300396343,-0.3089362560234587,2.14731882260581,1.35136615150415,-0.16804334693318596,-1.126988020103152,-0.2813601270000685,-0.8932841803207601,0.5649468930113664,-0.06043721405918172,1.8805280601390038,1.402024834636111,0.592232184942143,1.147749007423489,1.0252557850947164,-0.6917870593346516,-0.723770991765154,-0.03344690549544648,-0.3419272396134692,-0.8631542173738701,-1.5868042462313652,-0.21137613255449897,0.6491753008596247,0.17957417190107397,1.9589422078326073,-1.4931921352308115,-1.4320342448347934,56.133652216746775,52.900489737777235,43.585998611456695,51.237749267520414,1.1937891465825894,-0.06595016366244927,0.870647074808496,1.411692332634918,-0.16410899387629943,-0.4134578326088532,-0.011974285269295044,0.0,5.499419175127033,0.5810349197304666,-0.26698899584642954,0.17565901568437897,0.05337258565479709,0.6492138792974509,41.20393250056163,2.7497095875635167,44.18965080268886,0.11451580066958802,64.8578736781173,-0.16202550397800008,-0.2350939374993169,0.35598412929382023,-2.3622882482117573,1.9039425977052977,0.8041577662277186,0.5392017031956379,-0.8796067499378893,-0.013711770727832251,-0.2291728252532298,0.1545842398284891,49.442774321628896,57.63527563505952,73.62288248246375,48.854841993298244,0.911927624151255,0.5714285714285714,56.66905782805816,56.92210441447976,58.2405910887171
TSLA,1582813282304.0,94827003904.0,10503000064.0,3793999872.0,0.02095,0.0660803526273,-17.763,3732624896.0,-130.49574749999988,-19.26337,USD,Consumer Cyclical,Auto Manufacturers,US,421.80999755859375,96602705.97609562,-36.51479286099544,65059006.66666666,-6.206084582929716,-4.1558755490269,39.381419804005006,0.0,4.000969888114287,11.075958990155296,TSLA,-1.1542764268053505,78.35037766885374,-0.0039716373327664,474135.01952,200000.0,10.258301495499015,1236.8363861996684,39.50572966951306,3154.9153213025547,0.0207468614216934,20.08779503615994,60.55688200327568,3.41304051731818,52.022416752368926,0.0,41.967028497891846,3.664562591902344,66.01700011772115,35.68371697058318,0.9240843006829154,2.8204698263267267,12.26118709676948,78.64600327858118,1.3856267768293735,55.56225700308804,0.0,86.87017418633458,35.653877216102174,12.0,18.59548403649612,12.209450317591816,61.33413630900368,80.02011093846694,0.0,82.83060296954847,72.6929317825844,54.39783430648026,69.5676028057981,3.760433042449297,18.38611732131699,17.990805226305802,7.121120284736572,3.701443437427397,22.056686674985325,23.07492677377576,13.069249520524435,25.27532005696352,8.057033850586338,77.5,-0.12043241234813823,-0.40869409171937376,-0.2912262429414493,-0.5589766240423847,-0.674048795117456,-0.9212224058308012,-0.3951984159220219,0.6299320263243965,-0.7276586969637729,0.32266613545699696,-0.6881189603944344,2.130955905713219,0.013982172541854462,0.9768872552788793,1.5156970378304406,1.2356320714540325,0.6456932221442101,0.8216270185707877,0.026135880510858155,-0.9591102505724767,0.13622428467518571,0.45011672295854854,0.9699602593679515,-0.9527486712560548,-0.766486589030369,-0.4954754553052685,0.9341013345316584,-1.5147423686724573,1.1769350240229173,0.46784948919971336,-0.057614832897966456,-0.38433850166790406,42.94964350409027,63.56319632890422,54.69829521128022,53.688982504932135,-0.9836392460380836,-0.7068758966408089,-1.3140794080540776,-0.7688522941109396,-0.3875126523055782,-0.5241696199983485,-0.4476402691999861,0.0,-0.2996820138948844,0.819353903684615,-0.32158427270493095,-4.062009542037081,-0.8449216030963589,-0.8321918994298976,71.66983300742548,-0.1498410069474422,41.80646096314473,-2.45346557256672,35.850122526003545,3.5494924799207896,1.1116676792350881,0.3036731069688347,-1.6786563385443887,-0.5027959991093318,-0.8663458750551126,-0.4745225832186832,2.1669833007278947,1.6549444220415708,-1.0907261688268601,0.2753716141513663,58.3474280482796,50.20918052071944,66.78656338568989,69.22460801551618,0.803166295520991,1.0,56.067874529399816,55.655800767369364,54.19875734818102
NVDA,4519046938624.0,187141996544.0,112696000512.0,99198001152.0,0.3071151229999996,1.07359,-9.102,53282873344.0,-45.829628,-37.941536,USD,Technology,Semiconductors,US,185.6100006103516,129597019.1219121,-27.901302630705644,132590173.86666672,-0.4772114689803985,-8.511838159535234,6.856323084061522,0.0,50.29742487293902,60.2195138414607,NVDA,-1.171617232514243,83.16648992310986,-0.18147392606929,935709.98272,200000.0,5.984236459241293,425.11379123921,34.170235138562695,1799.1276956439624,0.0116592792435276,58.629617343039044,93.66736708374602,1.9044464570969688,53.61883668579318,0.0,14.074149795135089,5.680795859621585,41.38706567747199,32.81855491482604,0.8100833721964136,2.9669723831882857,8.442489912481795,85.46954875492455,0.2503295364363251,84.19853566598718,1.0,98.35412098057375,29.24751011279113,14.0,33.614073658160336,38.20821103600869,73.55517745130749,67.36275447196026,1.0,62.20035911716928,66.057340912912,66.11324045060228,70.73843114185837,2.7129813426901395,18.992093199520543,18.70277353694264,6.054706426185354,3.5602001322344456,25.320383701366893,25.447959769456485,13.749061928632331,25.955133505461216,7.495612883392413,95.0,-0.4467993673023331,-0.4535090277285667,-0.3894356008788118,-0.7079997184172289,2.4625839927088387,2.1196601514475204,-0.6132882555879359,0.7500496880402987,-0.7276586969637729,-0.37473272113715517,-0.16523479773766891,-0.05885365436070208,-0.26569843874984983,-0.9006404669514324,1.6398242637846834,-0.17793471709882205,1.3230995367572642,-1.1851637197533558,2.260321955686567,1.0252557850947164,1.1603934081790557,-0.3663324853398579,1.6388983692768835,-0.05384226206344517,0.8411370296307933,0.5697871912852523,-0.3320071435087812,0.6491753008596247,-0.4085185439408058,0.024300335489287662,0.6394478037821653,-0.280669452861482,56.89196254409491,53.955153856875704,56.98227134004625,55.89117214235359,3.4302168409349725,2.0258360070999304,2.563777877961315,1.9354832778371351,0.17440854618687576,-0.4278774131117833,0.03953012597478294,0.0,-0.2996820138948844,0.9158017668698344,0.46387558696339687,-0.49061523388262285,-2.3651834065583945,2.025944510004046,49.6762028820693,-0.1498410069474422,40.84198233129146,-1.4278993202205088,58.56542652804883,5.062711908723767,-0.599472813349768,0.6536567686852189,-0.41637881490072237,-0.5708113123291382,-0.14261559498232976,-0.9059547467917368,-0.032379711792851026,1.7056319546864058,-0.4935950636149303,-0.36031668452230586,58.52158514866783,53.36858572032291,54.16378814906824,64.27899320231168,0.9957149374278957,0.9166666666666666,58.66360830162604,58.42557526049919,57.819933844010734
JPM,838837927936.0,168235008000.0,24765500416.0,55680999424.0,0.01354,0.16134001,-245.288,19148812800.0,-15.3839245,-2.4264712,USD,Financial Services,Banks - Diversified,US,308.1400146484375,9494972.908366531,-23.68722524874099,11143650.0,-3.938315828650341,0.0290662021886323,7.486884738243527,0.0,33.097153848026686,0.0,JPM,-0.9813426949002066,80.60911488066658,-0.096633796091396,841175.04,200000.0,5.21724907323416,160.7667569217846,10.032271863442356,402.0783503893073,0.0443393066815284,36.20104734941489,84.27870761868365,5.226212450508281,43.62148523485619,1.0,10.177576640594314,6.772769992251389,49.71126344388803,27.286844149148283,0.886354255996882,3.274720209102377,11.831847282506445,58.75956877687373,0.3565921162964555,55.69185640379885,1.0,93.79412209110733,41.88158427945813,13.0,29.398449005502982,63.39618829080336,60.77960027590605,72.0671674128292,1.0,60.59274382500497,48.69156188490612,74.81894992171154,64.95820797238956,2.413909685787288,16.066273154290734,16.226380476650593,5.086155525676872,2.4008247833565397,24.74290480225473,,13.642556239285677,25.84862769600929,5.999130960889456,85.0,-0.553084614475418,-0.6562533606656088,-0.49063383916308884,-0.17209492904797918,0.6372891878624652,1.2574012405874744,-0.13307728829529633,-0.0021699845510124802,1.35136615150415,-0.47215779122659085,0.11795464721622251,0.6812379562387868,-0.805672170890045,0.3554957824243072,1.9005697739143341,1.0767033915516788,-1.3285291748924886,-0.9973303017667923,0.03624715159561484,1.0252557850947164,0.7537204977693502,1.2437968882371595,1.3044293143224175,-0.3061596976206299,2.398626156888462,-0.5438122962805076,0.1385727223896482,0.6491753008596247,-0.5320652852742098,-1.1364970588465304,1.1574345234442347,-0.7924697052230111,53.36478601733391,53.45023681043632,62.45488887305674,56.121724651636605,-1.0979322572254406,-0.448499016253137,1.1230585758622875,-1.3783545977425093,-0.21268642933938023,-0.4475989729626358,-0.3796486464645358,0.0,-0.2996820138948844,-1.7143373642078956,-0.5206020777698621,0.7936483278560065,0.525474940889586,-0.402882744939636,50.10259176917161,-0.1498410069474422,67.14337364209806,0.6595616343727962,43.95512000386982,-0.4455327686585825,0.21839484815867374,0.4678140319538598,0.20117980767057872,0.17549670189051778,-0.5798579597129824,-0.06002901759475319,0.010259176917091852,0.08022537048465035,0.18833825478054825,-0.2098759334635479,50.512576891779204,44.437708342775046,47.98820192326473,43.40438365623391,0.9548545240581486,0.9090909090909091,54.59479348676467,52.129644586439085,50.574845162448845
JNJ,555944837120.0,94193000448.0,33059663872.0,26804000768.0,0.05039,0.35557,-57.766,14302749696.0,-20.920218,-7.003673,USD,Healthcare,Drug Manufacturers - General,US,230.75,8826439.442231076,-15.898432500573634,8805370.0,11.500364050602109,22.370615925032958,39.79535107302485,3.898378841883434,28.456467721078027,35.097792526792745,JNJ,-1.3373060079611507,73.55858533055658,-0.0828727186074252,470965.00224,200000.0,7.12539762869686,90.0854769033666,17.647261963098998,425.153460838699,0.1190005074232727,12.837314363451265,61.68168752477855,2.961273520994904,61.03132397424813,0.0,2.591204797395562,1.1868341171294854,44.29584920160589,32.72015035646941,0.9658970881924734,4.128959300831557,12.030944491368116,65.36677389544133,1.5843919493790524,59.424587415070846,0.0,100.0,32.53143628642529,9.0,46.14246553822598,33.058540548433186,50.37691861349771,76.85491809975204,0.0,47.79062995117253,80.66515232847763,69.12207617161032,89.03646180978524,1.2784877443600444,15.993262370379927,15.990872434175266,4.511798372274834,2.9256993236818616,24.011816995747083,24.22157976210672,13.062541188312624,25.268611710555646,6.054799518110266,54.16666666666666,-0.5815032322089796,-0.5922920367345048,-0.4889623444992637,1.0522398770799388,-1.2641115903958144,-0.817919736529653,-0.46050809358312017,1.3077792815804212,-0.7276586969637729,-0.661837999767489,-1.3306859686692118,0.19976181149798378,-0.2753041247457852,1.6655190825382153,2.6243409559983073,1.1504031872040872,-0.6726000124389726,1.1729712244599877,0.32747268917096856,-0.9591102505724767,1.3071773059906324,0.052182233117082345,-0.03344690549544648,0.6960185465455407,0.522709086321777,-1.4505753183749397,0.6174888176657374,-1.5147423686724573,-1.515919730426818,1.0007442601062853,0.818472494452026,1.3394992567187372,44.73514485977258,54.72458171278588,55.1215496942025,51.34736920865621,-0.5295520328996504,0.07831936917925532,0.7343480684293275,0.5530524629442627,-0.26764287603061077,-0.5248309382761934,-0.3401090412979402,0.0,2.466597295171833,0.37388526599862854,-0.5962776517948397,0.5601158686983319,0.15292524498916005,0.11370499832451689,71.94973536425873,1.2332986475859165,46.26114734000955,0.35652055684374595,54.62151771297942,-0.4761937442421714,0.3510530638472188,-0.04454324269363446,1.3426007368726607,-1.2206873416331567,1.3705151574292074,2.15276847319382,2.1949735364110308,-0.056561307696195696,0.060956697619751976,1.9060857223446863,61.34976405821706,57.78977780096978,36.573992631076635,46.4347944315445,0.9305049129976829,0.875,56.0069909706387,57.20618722317392,55.588354733350286
V,642048851968.0,41391001600.0,28987000832.0,20592001024.0,0.18364,0.53954,-54.612,22032250880.0,-31.34648,-16.663671,USD,Financial Services,Credit Services,US,333.8399963378906,6613493.625498008,-23.372106965445266,7606976.666666667,-4.810240805286082,-3.051545726613858,-1.2553949840526712,0.0,49.749946191203065,63.892050361187934,V,-0.8997768307060179,71.64278904774068,-0.0979800577252185,206955.008,200000.0,8.961375907096592,364.0549864082534,263.9547072478484,2643.010665219688,0.0608283004504624,33.120140646596084,75.36938224636394,9.826397330322695,61.809058555619934,1.0,2.19918826842418,1.6669887946901685,48.301545820494354,13.960755919055668,0.8159299852770076,0.9730904753530852,11.33611410216034,60.13803440547391,0.7097411623726181,66.1125884588855,1.0,92.02506432138252,36.60720637625286,13.0,74.5761221076706,31.44313161817142,58.254460920686014,83.4711522189782,1.0,64.97617509711297,64.64072059844577,75.8184886783074,78.46859698223277,1.1628971115095457,15.704622759791675,15.844576498082748,5.900047989930112,5.579558895332555,23.74816853757679,24.090113319302173,12.240261527922431,24.44632934152032,7.88005223470765,85.0,-0.47134910428087873,1.47654194575628,-0.32830714458681104,0.0983005211827695,0.3865570635910484,0.43916459875149916,0.5319482539139684,1.366297505635414,1.35136615150415,-0.6716394936177322,-1.2061640293967526,0.5559021322153377,-2.106488121188741,-0.8043502148832723,-0.04953212290154188,0.8931978853795132,-1.1916822344671403,-0.3730918118817176,0.8492667036359245,1.0252557850947164,0.5959511891936913,0.5716122328943648,1.3044293143224175,2.39785585423696,0.42282088094876685,-0.7639192905397947,1.2793071154453057,0.6491753008596247,-0.19519448529644276,-0.07039217252567898,1.2169067357231296,0.4037852320021238,61.693473479739296,41.01257134674979,65.5274265472002,55.60534365343124,1.5257170279256291,0.5773091408823647,2.5179202805361176,2.1375804028747414,-0.17998699729934212,-0.5799078098838581,-0.35952407808042564,0.0,-0.2996820138948844,0.40900783388757683,-0.5732443188467553,0.12031429302641064,-0.6333257167444308,1.3157079709839024,44.19101928961349,-0.1498410069474422,45.909921661119675,-0.2565057118590101,54.40014815916928,-0.5776861617375586,0.20541674623308917,-0.18376287935596755,0.24735931396346367,0.49542000270732955,-0.690008506773715,-0.3651452888790734,-0.580898071034723,-0.18534409828681234,0.3713896583353966,-0.5453506222291704,47.47348143034286,56.38244043666191,47.52640686032911,52.56505711861334,0.7096969580547131,0.8181818181818182,54.43836795067875,53.225499577396796,52.654596915068055
