ticker,index
RELIANCE.NS,NIFTY 50
TCS.NS,NIFTY 50
HDFCBANK.NS,NIFTY 50
INFY.NS,NIFTY 50
HINDUNILVR.NS,NIFTY 50
ICICIBANK.NS,NIFTY 50
SBIN.NS,NIFTY 50
BHARTIARTL.NS,NIFTY 50
KOTAKBANK.NS,NIFTY 50
ITC.NS,NIFTY 50
LT.NS,NIFTY 50
AXISBANK.NS,NIFTY 50
ASIANPAINT.NS,NIFTY 50
MARUTI.NS,NIFTY 50
TITAN.NS,NIFTY 50
ULTRACEMCO.NS,NIFTY 50
NESTLEIND.NS,NIFTY 50
SUNPHARMA.NS,NIFTY 50
BAJFINANCE.NS,NIFTY 50
WIPRO.NS,NIFTY 50
HCLTECH.NS,NIFTY 50
ONGC.NS,NIFTY 50
POWERGRID.NS,NIFTY 50
NTPC.NS,NIFTY 50
TECHM.NS,NIFTY 50
M&M.NS,NIFTY 50
TATAMOTORS.NS,NIFTY 50
INDUSINDBK.NS,NIFTY 50
TATASTEEL.NS,NIFTY 50
COALINDIA.NS,NIFTY 50
